kills,time,health,score,movement,rotate,shoot,reward
1,-4.304505348205566,100,69.90467071533203,87,62,23,-1572
0,-1.4399267435073853,100,0.0,84,57,18,-789
0,-1.077376365661621,100,0.0,78,68,18,-1116
0,-1.1536951065063477,100,0.0,65,72,27,-1536
0,-1.4273840188980103,100,0.0,73,74,17,-1488
0,-1.1022456884384155,100,0.0,78,74,20,-848
0,-2.223177671432495,100,0.0,74,68,23,-1510
0,-1.2379677295684814,100,0.0,69,77,22,-588
1,-1.648705244064331,100,69.16389465332031,76,70,18,2052
0,-1.382946252822876,100,0.0,64,78,21,-1529
0,-1.0050992965698242,100,0.0,66,68,20,-855
0,-1.3608922958374023,100,0.0,80,64,24,-1372
1,-0.9738999009132385,100,93.16963195800781,75,74,21,1353
0,-5.101743698120117,100,0.0,65,75,19,-4148
0,-1.5192686319351196,100,0.0,78,67,21,-1409
1,-1.0303996801376343,100,84.06216430664062,78,73,19,1114
0,-2.611313819885254,100,0.0,79,58,32,-2996
0,-1.60062575340271,100,0.0,79,58,15,-1885
0,-1.3900002241134644,100,0.0,69,76,17,-760
1,-1.4131584167480469,100,93.17242431640625,69,74,19,1022
1,-1.2729133367538452,100,64.91156005859375,72,76,17,1525
0,-1.2250534296035767,100,0.0,71,71,24,-1272
0,-1.4109785556793213,100,0.0,69,67,26,18
1,-1.6397602558135986,100,51.98312759399414,82,61,20,864
0,-1.1667934656143188,100,0.0,75,69,26,-1516
0,-1.4052842855453491,100,0.0,77,71,22,-1104
0,-1.3161720037460327,100,0.0,76,70,17,-1311
0,-1.0415985584259033,100,0.0,54,77,22,-1640
0,-1.6791149377822876,100,0.0,69,72,16,-1802
0,-1.407381534576416,100,0.0,71,77,19,-1543
0,-1.5004466772079468,100,0.0,62,68,26,-804
0,-1.101548433303833,100,0.0,69,75,20,-1166
0,-1.2724132537841797,100,0.0,70,80,15,-1320
0,-5.313092231750488,100,0.0,70,73,15,-5556
0,-0.9547973275184631,100,0.0,73,70,24,418
0,-1.8447610139846802,100,0.0,78,74,15,-678
0,-0.6224615573883057,100,0.0,87,68,14,-932
1,-1.5113756656646729,100,81.99069213867188,64,71,26,1105
0,-1.1640814542770386,100,0.0,79,69,20,89
0,-1.4171139001846313,100,0.0,80,59,21,-1373
0,-0.9652373790740967,100,0.0,76,72,19,-1264
0,-1.8833045959472656,100,0.0,84,66,20,-1895
