kills,time,health,score,movement,rotate,shoot,reward
0,-1.0093716382980347,100,0.0,76,54,24,-10402
0,-0.994422197341919,100,0.0,70,85,17,-8370
0,-1.4864248037338257,100,0.0,71,76,26,-10876
0,-1.9677097797393799,100,0.0,68,78,26,-12130
0,-1.6494327783584595,100,0.0,71,80,24,-11970
0,-2.5595977306365967,100,0.0,69,79,18,-15428
0,-2.027768611907959,100,0.0,93,55,21,-13620
0,-1.0533329248428345,100,0.0,70,79,21,-9608
1,-0.9472076892852783,100,79.35604858398438,75,82,19,-8058
0,-2.095735549926758,100,0.0,79,59,22,-13612
