kills,time,health,score,movement,rotate,shoot,reward
2,-0.7188993096351624,100,151.21754455566406,69,70,21,2853
0,-0.294866144657135,100,0.0,70,86,20,-1044
0,-0.5410527586936951,100,0.0,82,72,20,-238
0,-0.6297523379325867,100,0.0,90,66,20,-794
0,-0.29879826307296753,100,0.0,77,75,17,-550
0,-0.5167360305786133,100,0.0,61,91,19,-860
0,-0.3708769977092743,100,0.0,73,76,14,-668
1,-0.5334117412567139,100,83.46565246582031,72,74,21,1151
0,-0.4829603135585785,100,0.0,84,68,22,-603
0,-0.5554149150848389,100,0.0,87,65,17,-980
0,-0.4224838316440582,100,0.0,62,81,22,-448
0,-0.3014927804470062,100,0.0,78,72,23,-402
0,-0.42735129594802856,100,0.0,80,59,26,-567
0,-0.6173981428146362,100,0.0,67,81,19,-752
2,-0.4724734127521515,100,131.1153564453125,76,71,22,3136
0,-0.3762735426425934,100,0.0,78,82,15,-844
0,-0.42091912031173706,100,0.0,76,67,20,-984
0,-0.37609466910362244,100,0.0,75,68,19,-1000
0,-0.446277916431427,100,0.0,67,100,12,-243
0,-0.5063115358352661,100,0.0,78,73,17,-873
0,-0.5258569717407227,100,0.0,76,73,23,-948
0,-0.5209020972251892,100,0.0,66,83,16,-814
1,-0.3409494161605835,100,81.33071899414062,68,69,22,1860
0,-0.6094759702682495,100,0.0,79,73,20,-841
0,-0.3725903034210205,100,0.0,82,67,22,-1018
1,-0.5853952169418335,100,90.95559692382812,79,70,29,968
2,-0.31926780939102173,100,148.3375701904297,65,71,29,3254
0,-0.45634782314300537,100,0.0,68,78,17,-1075
0,-0.46357542276382446,100,0.0,68,71,26,-1036
1,-0.3698698580265045,100,66.62052917480469,73,85,18,1955
2,-1.3274486064910889,100,108.40345764160156,85,60,19,2964
0,-0.3528161644935608,100,0.0,76,72,22,-932
1,-0.5254166722297668,100,57.189979553222656,71,81,20,1204
0,-0.496672660112381,100,0.0,68,75,22,-1024
1,-0.2859567105770111,100,80.2789077758789,72,80,21,1294
0,-0.5677033066749573,100,0.0,93,61,16,-888
0,-0.44465184211730957,100,0.0,76,81,17,133
0,-0.4946916699409485,100,0.0,83,63,26,-744
0,-0.6281492710113525,100,0.0,60,96,19,-680
0,-0.6169282793998718,100,0.0,81,69,18,-996
0,-0.6982915997505188,100,0.0,75,74,22,-880
1,-0.3986774682998657,100,59.59114074707031,91,68,17,1362
0,-0.3974522352218628,100,0.0,72,83,18,-345
1,-0.5586159229278564,100,65.17474365234375,85,65,18,1607
0,-0.4718438386917114,100,0.0,74,71,23,-825
0,-0.34096550941467285,100,0.0,71,71,23,-760
0,-0.6071670651435852,100,0.0,79,75,20,-1037
0,-0.45960670709609985,100,0.0,81,74,16,-913
0,-0.43419817090034485,100,0.0,76,68,25,-932
0,-0.5327588319778442,100,0.0,84,61,23,-338
0,-0.5927051901817322,100,0.0,76,70,23,-877
1,-0.5252890586853027,100,76.55457305908203,81,69,16,930
0,-0.49890464544296265,100,0.0,75,85,17,-894
0,-0.4280405640602112,100,0.0,75,75,21,60
0,-0.34869834780693054,100,0.0,80,80,15,-997
0,-0.613304078578949,100,0.0,82,64,24,-836
0,-0.36863067746162415,100,0.0,76,70,22,-765
0,-0.6192790865898132,100,0.0,79,62,26,-1033
0,-0.39395540952682495,50,0.0,71,67,27,67
1,-0.4232466220855713,100,90.6943588256836,75,78,18,891
0,-0.4908475875854492,100,0.0,73,70,25,-1096
0,-0.6910703778266907,100,0.0,68,87,16,-1016
1,-0.6683651208877563,100,80.85310363769531,77,74,18,1005
0,-0.5669112801551819,100,0.0,75,74,22,-784
1,-0.43945178389549255,100,57.76967239379883,78,71,20,964
0,-0.6569764614105225,100,0.0,71,78,22,-1036
0,-0.1310601532459259,100,0.0,89,67,13,-1108
0,-0.8101665377616882,100,0.0,74,78,23,-554
0,-0.49489468336105347,100,0.0,69,71,23,-828
1,-0.583707332611084,100,64.1055679321289,68,78,19,1322
0,-0.36565276980400085,100,0.0,93,51,21,-772
1,-0.5139987468719482,100,54.988494873046875,68,70,25,1203
0,-0.3668970465660095,100,0.0,71,73,18,-981
1,-0.29564806818962097,100,81.8037338256836,74,71,17,1105
1,-0.27734193205833435,100,82.73733520507812,81,69,19,1514
0,-0.6674484014511108,100,0.0,82,66,24,-960
1,-0.6158286929130554,100,62.67536163330078,82,74,16,833
0,-0.4827014207839966,100,0.0,71,83,20,-912
0,-0.3308285176753998,100,0.0,79,71,18,-884
0,-0.37127602100372314,100,0.0,76,70,20,-756
1,-0.3431742191314697,100,87.52500915527344,74,71,25,1267
0,-0.7753276228904724,100,0.0,72,76,22,-1224
0,-0.3178560435771942,100,0.0,68,75,25,-486
0,-0.46335500478744507,100,0.0,67,82,18,-528
0,-0.5937578082084656,100,0.0,81,69,19,-868
0,-0.46871495246887207,100,0.0,72,70,18,-908
0,-0.7067463994026184,100,0.0,80,77,20,-832
0,-0.8257697224617004,100,0.0,81,73,17,-876
0,-0.24463243782520294,100,0.0,76,68,16,-964
1,-0.43232569098472595,100,71.79206848144531,73,81,23,1090
2,-0.2202095240354538,100,151.62332153320312,68,80,22,3552
0,-0.5390084981918335,100,0.0,76,79,15,-633
0,-0.6949308514595032,100,0.0,78,79,17,-648
0,-0.24696630239486694,100,0.0,90,59,20,-988
0,-0.6008107662200928,100,0.0,75,72,17,-240
