kills,time,health,score,movement,rotate,shoot,reward
0,-0.7148633599281311,100,0.0,49,58,13,-696
0,-0.31078141927719116,100,0.0,47,48,18,-123
1,-0.3602156937122345,100,76.9262466430664,38,63,11,1637
2,-0.426071435213089,100,166.82168579101562,48,52,18,3296
0,-0.3083955645561218,100,0.0,42,61,11,-902
0,-0.3137774169445038,100,0.0,61,46,10,-628
1,-0.36847150325775146,100,93.27786254882812,54,52,11,1329
0,-0.3353385329246521,100,0.0,44,53,15,-373
0,-1.082454800605774,100,0.0,43,37,10,-724
0,60.0,100,0.0,0,0,1,-4
