kills,time,health,score,movement,rotate,shoot,reward
2,-0.11519303172826767,100,145.3271942138672,72,76,20,-2016
1,-0.13067500293254852,100,96.57270812988281,65,77,24,-5504
2,-0.07493734359741211,100,163.64524841308594,60,84,25,-2516
1,-0.12537726759910583,100,95.10635375976562,66,78,24,-5500
1,-0.1349215805530548,100,97.07810974121094,56,92,20,-4512
0,-0.011342447251081467,100,0.0,64,92,18,-5750
0,-0.06482890248298645,100,0.0,73,85,18,-6508
0,-0.06761512905359268,100,0.0,64,72,16,-5294
0,-0.015168983489274979,100,0.0,64,91,17,-6262
0,-0.0657443255186081,100,0.0,58,100,14,-4750
1,-0.15606310963630676,100,88.2566909790039,66,85,20,-3774
1,-0.08824276924133301,100,69.53620147705078,67,82,17,-2270
2,-0.10065900534391403,100,173.94216918945312,60,85,27,-3750
0,-0.11273707449436188,100,0.0,51,93,22,-6012
1,-0.5023432374000549,100,88.75115966796875,73,89,15,-2508
0,-0.49867838621139526,100,0.0,60,85,20,-6286
0,-0.48819833993911743,100,0.0,79,62,19,-5254
0,-0.09666000306606293,100,0.0,73,72,23,-7004
1,-0.47842133045196533,100,92.50335693359375,62,92,17,-3774
0,-0.10285654664039612,100,0.0,49,101,18,-6524
0,-0.08416557312011719,100,0.0,63,85,11,-4818
0,-0.0640590637922287,100,0.0,60,97,12,-4258
1,-0.5010362863540649,100,97.5053482055664,67,75,22,-5020
1,-0.02562686800956726,100,74.29421997070312,74,79,17,-3754
0,-0.04916910454630852,100,0.0,50,89,19,-6774
0,-0.006688497960567474,100,0.0,69,81,23,-7750
0,-0.06213756278157234,100,0.0,66,79,19,-6020
0,-0.12903116643428802,100,0.0,73,82,13,-3762
0,-0.1598857343196869,100,0.0,77,71,8,-4048
3,-0.13494686782360077,100,217.4368896484375,59,74,26,-1036
3,-0.050561852753162384,100,250.18121337890625,67,74,27,-1258
2,-0.02364424616098404,100,171.6429443359375,64,79,18,-1528
1,-0.040794361382722855,100,85.40541076660156,72,70,28,-6520
0,-0.006691146641969681,100,0.0,76,82,15,-5008
0,-0.09584888815879822,100,0.0,64,82,21,-7262
0,-0.5588028430938721,100,0.0,76,75,19,-8020
0,-0.04288408160209656,100,0.0,62,85,23,-7012
3,-0.010752733796834946,100,229.36691284179688,67,84,18,1722
1,-0.010384593158960342,100,54.910030364990234,54,87,21,-4778
0,-0.014928687363862991,100,0.0,68,80,20,-6270
0,-0.03099600225687027,100,0.0,73,73,23,-7766
1,-0.011942218989133835,100,83.08834838867188,78,75,19,-4262
2,-0.017966855317354202,100,178.306884765625,84,55,21,-2286
1,-0.1180911511182785,100,61.620704650878906,67,81,19,-3528
0,-0.01438799500465393,100,0.0,67,81,19,-6024
1,-0.010821685194969177,100,50.88895034790039,80,73,18,-4004
1,-0.0433250293135643,100,91.77244567871094,73,76,19,-4266
0,-0.018961116671562195,100,0.0,73,78,21,-7266
0,-0.013589885085821152,100,0.0,56,83,21,-7310
0,-0.02508438378572464,100,0.0,70,72,23,-7754
1,-0.05861721932888031,100,80.49974060058594,141,153,40,-3770
0,-0.09008647501468658,100,0.0,230,217,52,-5008
